0,data-mining
1,sprachdialogsysteme
2,maschinelles-lernen
3,programmierung
4,markup
5,semantic-web
6,computerlinguistik
7,softskills
8,korpuslinguistik
9,datenbank
10,digitalisierung
11,geisteswissenschaften
12,digital-humanities
13,webdesign
14,digitale-edition
15,langzeitarchivierung
