place;jobs-cl;jobs-dh;jobs
Karlsruhe;1;3;4
Nürnberg;3;1;4
Berlin;1;1;2
Konstanz;1;0;1
Hannover;1;0;1
Köln;1;1;2
Hamburg;1;4;5
München;3;0;3
Stuttgart;3;0;3
Frankfurt am Main;1;0;1
Mannheim;1;0;1
Stuttgart;3;0;3
Braunschweig;1;0;1
Darmstadt;0;1;1
Gernsbach;0;1;1
Hamburg;1;4;5
