absolventa_17-12-18-14-28-36-741872,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,1
absolventa_17-12-18-14-28-37-209256,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,1
absolventa_17-12-18-14-28-37-630842,0,0,0,2,0,0,0,5,0,0,0,0,0,3,0,0
absolventa_17-12-18-14-28-38-050288,0,0,3,0,1,0,0,5,0,0,0,0,0,1,0,0
absolventa_17-12-18-14-28-38-605690,0,0,0,7,2,0,0,6,0,3,0,0,0,3,0,0
absolventa_17-12-18-14-28-39-195448,0,0,0,3,3,0,0,1,0,1,0,0,0,5,0,0
absolventa_17-12-18-14-28-39-632719,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,1
absolventa_17-12-18-14-28-40-221454,0,0,0,3,1,0,0,10,0,1,0,0,0,2,0,0
absolventa_17-12-18-14-28-40-632889,0,0,0,1,1,0,0,2,0,2,0,0,0,3,0,0
absolventa_17-12-18-14-28-41-065729,0,0,0,5,3,0,0,5,0,2,0,0,0,3,0,0
absolventa_17-12-18-14-28-41-502130,0,0,0,1,1,0,0,2,0,2,0,0,0,3,0,0
absolventa_17-12-18-14-28-41-924773,0,0,0,5,2,0,0,9,0,0,0,0,0,5,0,0
absolventa_17-12-18-14-28-42-347377,0,0,0,1,2,0,0,7,0,0,0,0,0,2,0,0
absolventa_17-12-18-14-28-42-778784,1,0,1,4,2,0,0,9,0,0,0,0,0,7,0,0
absolventa_17-12-18-14-28-43-193658,0,0,0,2,1,0,0,4,0,0,0,0,0,7,0,0
absolventa_17-12-18-14-28-43-805514,0,0,0,3,1,0,0,2,0,0,0,0,0,3,0,0
absolventa_17-12-18-14-28-44-282910,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
absolventa_17-12-18-14-28-44-705147,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0
absolventa_17-12-18-14-28-45-237729,0,0,0,3,1,0,0,3,0,1,0,1,0,8,0,0
absolventa_17-12-18-14-28-45-952219,0,0,0,5,3,0,1,7,0,0,0,1,0,3,0,0
absolventa_17-12-18-14-28-46-368409,0,0,0,6,1,0,0,1,0,2,0,0,0,0,0,0
absolventa_17-12-18-14-28-46-794726,0,0,0,2,0,0,0,1,0,2,0,0,0,2,0,0
absolventa_17-12-18-14-28-47-220022,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
absolventa_17-12-18-14-28-47-657049,0,0,0,0,3,0,0,2,0,0,0,0,0,3,0,0
absolventa_17-12-18-14-28-48-082748,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0
absolventa_17-12-18-14-28-48-506361,0,0,0,5,3,0,0,5,0,2,0,0,0,7,0,0
absolventa_17-12-18-14-28-49-025111,0,0,0,6,3,0,0,1,0,3,0,0,0,6,0,0
absolventa_17-12-18-14-28-49-466141,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0
absolventa_17-12-18-14-28-49-934607,0,0,0,2,2,0,0,6,0,1,0,1,0,5,0,0
